Global_Session_ID,Transaction_Str
U0002_15,"Dorms,Cafeteria,Math_Building,Library"
U0002_2,"Cafeteria,Math_Building,Cafeteria,Math_Building,Library,Student_Center,Gym,Dorms,CS_Building,Student_Center,Dorms,Cafeteria"
U0002_3,"Math_Building,Library,Cafeteria,Dorms,Cafeteria,Library,Gym,Dorms,Cafeteria,Math_Building,Student_Center"
U0002_4,"Dorms,Cafeteria,CS_Building,Library,Dorms"
U0002_5,"Library,Dorms,Library"
U0002_6,"Dorms,Cafeteria,Math_Building,Student_Center,Library,Student_Center,Dorms"
U0002_7,"Dorms,Library,Cafeteria,CS_Building"
U0002_8,"Dorms,Cafeteria,CS_Building,Student_Center,Dorms,Cafeteria"
U0002_9,"Dorms,Cafeteria,Library,Cafeteria,CS_Building,Student_Center,Library,Gym"
U0003_1,"Dorms,Library,Dorms"
U0003_10,"CS_Building,Library,Cafeteria,CS_Building,Library,Cafeteria,CS_Building"
U0003_11,"Dorms,Cafeteria,CS_Building"
U0003_12,"Gym,Dorms,Cafeteria,Library,Dorms,Cafeteria,Library"
U0003_13,"CS_Building,Library,Cafeteria"
U0003_2,"Dorms,Cafeteria,Library,Dorms,Cafeteria,CS_Building"
U0003_3,"Dorms,Math_Building,Dorms,Library,Student_Center,Library,Gym"
U0003_4,"Cafeteria,Library,Cafeteria"
U0003_5,"Dorms,Cafeteria,Student_Center,Library,Cafeteria,Dorms,CS_Building,Library,Cafeteria,Math_Building,Dorms,Cafeteria"
U0003_6,"Dorms,Math_Building,Student_Center,Library,Gym"
U0003_7,"Dorms,Cafeteria,Student_Center,Library,Cafeteria,Math_Building,Dorms,Cafeteria"
U0003_8,"Cafeteria,Math_Building,Library,Cafeteria,CS_Building,Library,Cafeteria"
U0003_9,"Dorms,CS_Building,Library,Dorms,Math_Building,Student_Center,Library,Cafeteria"
U0004_1,"Cafeteria,Library,Cafeteria,CS_Building,Library,Dorms,CS_Building,Library,Dorms,Math_Building,Library,Cafeteria,Library,Gym,Dorms"
U0004_10,"Dorms,Math_Building,Dorms"
U0004_11,"Dorms,Cafeteria,Math_Building,Dorms,CS_Building,Student_Center,Dorms,Math_Building"
U0004_12,"Cafeteria,CS_Building,Student_Center,Library,Cafeteria,CS_Building"
U0004_13,"Dorms,Cafeteria,Math_Building,Cafeteria,Math_Building"
U0004_14,"Dorms,Math_Building,Student_Center,Library"
U0004_2,"Dorms,Cafeteria,Math_Building,Student_Center,Dorms,Cafeteria"
U0004_3,"Dorms,Cafeteria,CS_Building,Library,Dorms,Cafeteria,Library,Dorms"
U0004_4,"Dorms,Math_Building,Student_Center,Dorms,CS_Building,Student_Center,Gym"
U0004_5,"Dorms,Cafeteria,CS_Building,Library"
U0004_6,"Dorms,CS_Building,Library,Student_Center"
U0004_7,"Dorms,Cafeteria,CS_Building,Library"
U0004_8,"Math_Building,Library,Cafeteria,CS_Building,Library,Gym"
U0004_9,"Dorms,CS_Building,Student_Center,Gym,Dorms,Cafeteria"
U0005_1,"Dorms,Math_Building,Cafeteria"
U0005_10,"Dorms,Library,Gym,Dorms,Cafeteria,CS_Building,Student_Center,Dorms"
U0005_11,"Dorms,Cafeteria,Math_Building,Student_Center,Dorms"
U0005_12,"Math_Building,Cafeteria,Math_Building,Library"
U0005_13,"Dorms,Cafeteria,CS_Building,Dorms,Cafeteria,Student_Center,Library,Cafeteria,Dorms,Math_Building,Cafeteria,Library"
U0005_2,"Dorms,Cafeteria,CS_Building,Cafeteria,CS_Building,Student_Center,Gym,Cafeteria"
U0005_3,"Dorms,CS_Building,Student_Center,Library,Student_Center,Dorms,CS_Building,Student_Center"
U0005_4,"Dorms,Cafeteria,Library,Student_Center,Library,Dorms"
U0005_5,"Dorms,Cafeteria,Math_Building,Library,Student_Center,Dorms"
U0005_6,"Cafeteria,CS_Building,Dorms"
U0005_7,"Dorms,CS_Building,Library,Gym,Dorms,Math_Building,Library,Cafeteria"
U0005_8,"Dorms,Cafeteria,Math_Building,Student_Center,Dorms,CS_Building"
U0005_9,"Dorms,Cafeteria,CS_Building,Library,Gym,Dorms,CS_Building,Student_Center"
U0006_1,"Dorms,CS_Building,Cafeteria"
U0006_10,"Dorms,Cafeteria,CS_Building,Library,Cafeteria"
U0006_11,"Math_Building,Student_Center,Dorms,CS_Building"
U0006_2,"Dorms,Cafeteria,CS_Building,Dorms,Library,Cafeteria"
U0006_3,"Gym,Cafeteria,CS_Building,Student_Center,Gym,Dorms,CS_Building"
U0006_4,"Dorms,Library,Student_Center,Gym,Dorms,Math_Building,Dorms,Cafeteria"
U0006_5,"Dorms,Cafeteria,Math_Building,Library,Cafeteria,CS_Building,Student_Center,Dorms,Math_Building,Library"
U0006_6,"Dorms,CS_Building,Cafeteria,CS_Building,Student_Center,Gym,Dorms"
U0006_7,"Dorms,Cafeteria,Library,Cafeteria,Library,Dorms"
U0006_8,"Student_Center,Gym,Cafeteria,CS_Building,Cafeteria,Dorms,Cafeteria,Math_Building,Dorms"
U0006_9,"Library,Gym,Dorms,Cafeteria,Library,Cafeteria,CS_Building,Library"
U0007_1,"Dorms,Library,Gym,Dorms,Cafeteria"
U0007_10,"Dorms,Cafeteria,CS_Building,Library,Dorms,Cafeteria,Math_Building,Cafeteria"
U0007_11,"Dorms,Cafeteria,CS_Building,Library,Dorms,Math_Building,Library"
U0007_12,"CS_Building,Library,Dorms,Math_Building,Dorms,Math_Building,Dorms,Cafeteria"
U0007_13,"Dorms,Cafeteria,Library,Dorms,Math_Building,Student_Center"
U0007_2,"Dorms,Library,Dorms"
U0007_3,"Dorms,Cafeteria,Student_Center,Dorms,Library"
U0007_4,"Library,Dorms,CS_Building,Library,Cafeteria,CS_Building"
U0007_5,"Library,Gym,Dorms,Cafeteria,Student_Center"
U0007_6,"Dorms,Library,Student_Center,Dorms,Cafeteria,Library"
U0007_7,"Gym,Dorms,Math_Building,Library,Cafeteria,Math_Building,Student_Center"
U0007_8,"Dorms,Math_Building,Cafeteria,CS_Building,Student_Center,Dorms,Cafeteria,Student_Center"
U0007_9,"Dorms,Cafeteria,Math_Building,Cafeteria,Math_Building,Library,Dorms,CS_Building"
U0008_1,"Dorms,CS_Building,Cafeteria,CS_Building"
U0008_10,"Dorms,Cafeteria,CS_Building,Library"
U0008_11,"Dorms,CS_Building,Cafeteria,Math_Building,Student_Center,Library"
U0008_12,"Dorms,Cafeteria,CS_Building,Library,Dorms,Cafeteria,Math_Building,Dorms,Cafeteria,Math_Building,Student_Center"
U0008_13,"CS_Building,Student_Center,Dorms,Library,Dorms"
U0008_14,"Dorms,Cafeteria,Math_Building,Student_Center,Library,Cafeteria"
U0008_2,"Library,Cafeteria,CS_Building,Cafeteria"
U0008_3,"Student_Center,Gym,Dorms"
U0008_4,"Math_Building,Cafeteria,Math_Building,Student_Center"
U0008_5,"Dorms,Math_Building,Library,Student_Center,Gym,Dorms"
U0008_6,"Dorms,CS_Building,Library,Cafeteria"
U0008_7,"Dorms,Cafeteria,Library,Gym,Dorms"
U0008_8,"Math_Building,Student_Center,Dorms,Library,Cafeteria,Library,Dorms,Cafeteria"
U0008_9,"Library,Dorms,Math_Building"
U0009_1,"Dorms,Library,Cafeteria,Student_Center,Library"
U0009_10,"Cafeteria,CS_Building,Library,Gym,Dorms,Math_Building,Student_Center"
U0009_11,"Dorms,Cafeteria,Math_Building,Student_Center,Library,Cafeteria"
U0009_12,"Dorms,Math_Building,Library"
U0009_13,"Dorms,Cafeteria,Library,Dorms,CS_Building,Library"
U0009_14,"Dorms,CS_Building,Dorms,CS_Building,Student_Center"
U0009_15,"Dorms,Cafeteria,CS_Building,Student_Center,Gym"
U0009_16,"Student_Center,Library,Cafeteria,Math_Building,Library,Dorms,Math_Building,Student_Center"
U0009_17,"Dorms,Math_Building,Dorms,Cafeteria"
U0009_2,"Student_Center,Gym,Dorms,Math_Building,Dorms,Cafeteria"
U0009_3,"Dorms,CS_Building,Cafeteria,Library,Gym,Dorms,Math_Building"
U0009_4,"Gym,Dorms,Cafeteria,CS_Building,Library,Dorms"
U0009_5,"Math_Building,Student_Center,Library,Cafeteria,CS_Building,Library,Cafeteria"
U0009_6,"Dorms,Cafeteria,Student_Center,Dorms,Library,Dorms,Cafeteria,Math_Building"
U0009_7,"Dorms,Cafeteria,CS_Building,Cafeteria,Math_Building,Student_Center"
U0009_8,"Dorms,Math_Building,Library,Dorms,Cafeteria,CS_Building,Student_Center"
U0009_9,"Dorms,CS_Building,Cafeteria,CS_Building,Student_Center"
U0010_1,"Dorms,Cafeteria,Student_Center,Gym,Dorms,Math_Building"
U0010_10,"Dorms,Math_Building,Library"
U0010_11,"Dorms,Cafeteria,CS_Building,Library,Cafeteria"
U0010_2,"CS_Building,Student_Center,Dorms,Math_Building"
U0010_3,"Cafeteria,Library,Gym,Dorms,Cafeteria,CS_Building,Library,Dorms,Cafeteria,Student_Center,Library"
U0010_4,"Student_Center,Dorms,Cafeteria,Math_Building"
U0010_5,"Cafeteria,Student_Center,Library,Student_Center,Gym,Dorms"
U0010_6,"Dorms,Cafeteria,Library,Dorms,Math_Building,Dorms"
U0010_7,"Dorms,Math_Building,Student_Center"
U0010_8,"Dorms,Cafeteria,CS_Building,Student_Center,Dorms,Library,Dorms,Math_Building"
U0010_9,"Dorms,Math_Building,Dorms,Cafeteria"
U0011_1,"Gym,Dorms,Library"
U0011_10,"Library,Dorms,Cafeteria,Math_Building"
U0011_2,"Dorms,Library,Dorms,Cafeteria,Math_Building,Student_Center"
U0011_3,"Dorms,CS_Building,Library"
U0011_4,"Dorms,CS_Building,Library,Cafeteria,Library,Dorms,Dorms,Library,Cafeteria,Math_Building"
U0011_5,"Dorms,Cafeteria,CS_Building,Library"
U0011_6,"Dorms,Cafeteria,CS_Building,Cafeteria,Math_Building,Library,Dorms,Cafeteria,Dorms,Math_Building,Cafeteria,CS_Building,Student_Center,Library,Cafeteria"
U0011_7,"Dorms,Math_Building,Library,Dorms,Cafeteria,CS_Building,Library,Student_Center"
U0011_8,"Dorms,Library,Dorms,Cafeteria,Math_Building,Student_Center,Gym"
U0011_9,"Dorms,Cafeteria,CS_Building,Library,Gym"
U0012_1,"CS_Building,Cafeteria,Student_Center"
U0012_10,"Dorms,Math_Building,Cafeteria,CS_Building,Library,Gym,Dorms,Cafeteria"
U0012_11,"Dorms,Cafeteria,Library,Cafeteria,Student_Center"
U0012_12,"Dorms,Cafeteria,CS_Building,Library,Gym,Cafeteria,CS_Building,Dorms,Math_Building,Dorms,CS_Building,Library"
U0012_13,"Dorms,CS_Building,Library,Dorms,Cafeteria"
U0012_14,"Cafeteria,CS_Building,Student_Center,Library,Dorms,Cafeteria"
U0012_15,"Dorms,CS_Building,Student_Center,Library"
U0012_2,"Dorms,Cafeteria,Math_Building,Student_Center"
U0012_3,"Dorms,Math_Building,Library,Student_Center"
U0012_4,"Dorms,CS_Building,Student_Center,Gym,Dorms,CS_Building,Library"
U0012_5,"Math_Building,Library,Gym,Dorms,CS_Building,Cafeteria,Library,Dorms"
U0012_6,"Gym,Dorms,Cafeteria,Math_Building,Cafeteria,Library"
U0012_7,"Cafeteria,Library,Cafeteria,Math_Building"
U0012_8,"Dorms,Library,Cafeteria"
U0012_9,"Dorms,Math_Building,Library"
U0013_1,"Dorms,Math_Building,Library,Gym"
U0013_10,"Student_Center,Gym,Cafeteria,CS_Building,Dorms,Math_Building"
U0013_11,"Dorms,Math_Building,Library,Gym,Dorms,Math_Building"
U0013_12,"Student_Center,Dorms,Cafeteria,CS_Building"
U0013_13,"Dorms,Cafeteria,Math_Building"
U0013_14,"Dorms,Cafeteria,Library,Cafeteria,Student_Center,Gym,Dorms,CS_Building"
U0013_2,"Dorms,Cafeteria,Library,Cafeteria,Math_Building,Library"
U0013_3,"Dorms,Library,Cafeteria,Math_Building,Student_Center"
U0013_4,"CS_Building,Cafeteria,CS_Building,Student_Center,Gym"
U0013_5,"Dorms,Library,Cafeteria,Math_Building,Library"
U0013_6,"Gym,Cafeteria,CS_Building,Student_Center,Dorms,CS_Building,Student_Center"
U0013_7,"Dorms,CS_Building,Library,Cafeteria"
U0013_8,"CS_Building,Library,Cafeteria,Library,Dorms"
U0013_9,"Dorms,Cafeteria,Library,Cafeteria"
U0014_1,"Library,Cafeteria,CS_Building,Library,Student_Center,Gym,Dorms"
U0014_10,"Student_Center,Library,Cafeteria,Student_Center,Dorms,Cafeteria,Math_Building"
U0014_11,"Dorms,Cafeteria,Math_Building,Dorms,Cafeteria"
U0014_2,"Dorms,Math_Building,Student_Center,Dorms,Cafeteria,Student_Center"
U0014_3,"Dorms,Math_Building,Dorms"
U0014_4,"Dorms,CS_Building,Student_Center,Dorms,Cafeteria,Library,Dorms"
U0014_5,"Library,Dorms,CS_Building,Student_Center,Library,Gym"
U0014_6,"Dorms,CS_Building,Library,Dorms,Cafeteria"
U0014_7,"Dorms,Library,Dorms,Math_Building,Student_Center,Dorms,Cafeteria,CS_Building,Library,Dorms,Cafeteria,Dorms,Cafeteria,Student_Center,Dorms,Cafeteria,CS_Building"
U0014_8,"Dorms,Cafeteria,CS_Building,Student_Center"
U0014_9,"Math_Building,Library,Cafeteria,CS_Building,Library,Dorms,Math_Building"
U0015_1,"Dorms,Library,Cafeteria"
U0015_10,"CS_Building,Library,Cafeteria,Library,Dorms,Math_Building"
U0015_11,"Gym,Dorms,Math_Building,Student_Center,Library,Dorms,Library,Cafeteria"
U0015_12,"Library,Dorms,Math_Building,Cafeteria,CS_Building,Library"
U0015_2,"Student_Center,Dorms,Cafeteria,Math_Building,Dorms,Math_Building,Cafeteria,CS_Building"
U0015_3,"Dorms,Library,Gym,Dorms"
U0015_4,"Dorms,Cafeteria,CS_Building,Student_Center,Gym"
U0015_5,"Dorms,Cafeteria,Student_Center,Dorms,CS_Building,Library,Cafeteria"
U0015_6,"Dorms,Cafeteria,CS_Building,Dorms,CS_Building,Library,Dorms,Cafeteria,Dorms,CS_Building,Student_Center,Library,Student_Center,Gym,Dorms"
U0015_7,"Dorms,Math_Building,Library"
U0015_8,"Dorms,Library,Cafeteria,CS_Building,Dorms,Cafeteria,Library,Dorms,Cafeteria,Dorms,Cafeteria,Library,Dorms,CS_Building,Student_Center,Library,Gym"
U0015_9,"Math_Building,Student_Center,Gym,Dorms,CS_Building"
U0016_1,"Dorms,Math_Building,Library,Cafeteria,Student_Center,Dorms,Library"
U0016_10,"Dorms,Cafeteria,CS_Building,Cafeteria,CS_Building,Dorms,Math_Building,Dorms"
U0016_11,"Math_Building,Dorms,Cafeteria,Student_Center,Gym,Dorms,Library"
U0016_12,"Dorms,Cafeteria,Math_Building,Dorms,Cafeteria,Math_Building,Library,Gym"
U0016_13,"CS_Building,Library,Dorms,CS_Building,Library,Student_Center,Gym"
U0016_14,"Dorms,Math_Building,Student_Center,Gym,Dorms,Cafeteria,CS_Building"
U0016_15,"Dorms,Math_Building,Student_Center,Dorms"
U0016_16,"Dorms,Cafeteria,Library,Student_Center,Library,Cafeteria,Library"
U0016_17,"Dorms,CS_Building,Dorms,Cafeteria,Math_Building,Cafeteria"
U0016_2,"Dorms,Math_Building,Library,Cafeteria,Library,Gym,Dorms,Cafeteria,Dorms,Math_Building,Cafeteria,Library,Gym,Dorms,Cafeteria"
U0016_3,"Gym,Dorms,Cafeteria,Math_Building,Library"
U0016_4,"Dorms,Math_Building,Cafeteria,CS_Building,Cafeteria,Student_Center,Library"
U0016_5,"Student_Center,Dorms,Cafeteria,CS_Building,Student_Center,Gym,Dorms,Cafeteria"
U0016_6,"Gym,Dorms,Math_Building,Student_Center,Library,Dorms,CS_Building,Library"
U0016_7,"Dorms,Cafeteria,Library,Dorms,CS_Building,Library,Gym,Dorms"
U0016_8,"Dorms,Cafeteria,CS_Building,Student_Center,Dorms,Math_Building,Library"
U0016_9,"Dorms,Cafeteria,CS_Building,Cafeteria,CS_Building"
U0017_1,"Dorms,Cafeteria,Library,Dorms,Cafeteria"
U0017_10,"Dorms,Library,Cafeteria"
U0017_11,"Dorms,Cafeteria,Student_Center,Dorms,Cafeteria,Library"
U0017_12,"Dorms,Cafeteria,CS_Building,Library,Cafeteria,CS_Building,Student_Center,Dorms"
U0017_2,"Dorms,Math_Building,Library,Dorms,Cafeteria,Library"
U0017_3,"Dorms,Math_Building,Library,Dorms,CS_Building,Cafeteria"
U0017_4,"Dorms,Cafeteria,Math_Building,Library"
U0017_5,"Dorms,Cafeteria,CS_Building,Library,Dorms"
U0017_6,"Dorms,Math_Building,Student_Center,Dorms,Math_Building"
U0017_7,"Dorms,Cafeteria,Math_Building,Student_Center"
U0017_8,"Gym,Dorms,Library,Dorms,CS_Building"
U0017_9,"Dorms,Cafeteria,Math_Building,Cafeteria,CS_Building,Library,Cafeteria"
U0018_1,"Dorms,CS_Building,Dorms,CS_Building,Library,Cafeteria,Student_Center,Dorms"
U0018_10,"Dorms,Library,Gym,Cafeteria,Library,Student_Center,Library"
U0018_11,"Dorms,CS_Building,Cafeteria,Library,Dorms,Cafeteria"
U0018_12,"Gym,Cafeteria,Math_Building,Student_Center,Dorms"
U0018_2,"Dorms,CS_Building,Student_Center,Library,Cafeteria,CS_Building,Dorms"
U0018_3,"Dorms,CS_Building,Cafeteria,Math_Building,Student_Center,Gym"
U0018_4,"CS_Building,Cafeteria,CS_Building,Student_Center,Gym,Dorms,Cafeteria,CS_Building"
U0018_5,"Dorms,Cafeteria,Math_Building,Dorms,Cafeteria,Library,Cafeteria,Math_Building"
U0018_6,"Student_Center,Dorms,Cafeteria,Math_Building,Library,Gym,Cafeteria,Math_Building,Dorms,Cafeteria,Library,Cafeteria,Math_Building,Cafeteria,Math_Building,Library"
U0018_7,"Dorms,Cafeteria,CS_Building,Cafeteria"
U0018_8,"Dorms,Cafeteria,CS_Building,Library,Cafeteria,CS_Building,Library,Dorms"
U0018_9,"Dorms,CS_Building,Student_Center"
U0019_1,"Dorms,Math_Building,Cafeteria,Library,Dorms,CS_Building,Library,Gym,Cafeteria,Math_Building,Cafeteria,Student_Center,Dorms,Math_Building,Student_Center,Library,Cafeteria,CS_Building,Student_Center"
U0019_10,"Dorms,Cafeteria,CS_Building"
U0019_11,"Dorms,CS_Building,Student_Center,Library,Dorms,CS_Building,Cafeteria"
U0019_2,"Dorms,Cafeteria,Student_Center,Dorms,Dorms,Cafeteria,Math_Building,Library,Cafeteria,CS_Building,Library,Cafeteria"
U0019_3,"Dorms,Math_Building,Dorms,CS_Building,Library,Cafeteria"
U0019_4,"Dorms,Cafeteria,Math_Building,Dorms,Cafeteria,CS_Building,Cafeteria"
U0019_5,"Dorms,Cafeteria,Student_Center,Gym,Dorms,Cafeteria,Math_Building,Dorms,Math_Building,Library,Dorms,CS_Building,Student_Center,Dorms"
U0019_6,"Dorms,CS_Building,Cafeteria,Library,Gym,Dorms"
U0019_7,"Dorms,Cafeteria,Math_Building,Library,Dorms,Cafeteria,CS_Building"
U0019_8,"Dorms,Cafeteria,Library,Gym,Dorms,Cafeteria,CS_Building"
U0019_9,"Dorms,Cafeteria,Library,Cafeteria"
U0020_1,"Dorms,CS_Building,Student_Center,Gym,Dorms,CS_Building,Library"
U0020_10,"Dorms,CS_Building,Dorms,Cafeteria"
U0020_11,"Dorms,Cafeteria,CS_Building,Cafeteria,Math_Building,Dorms,CS_Building,Library,Cafeteria,CS_Building,Library"
U0020_2,"Dorms,Cafeteria,CS_Building,Library"
U0020_3,"Dorms,Cafeteria,CS_Building"
U0020_4,"Dorms,Cafeteria,Math_Building,Student_Center"
U0020_5,"Dorms,Math_Building,Library"
U0020_6,"Dorms,CS_Building,Student_Center,Gym"
U0020_7,"Dorms,Math_Building,Student_Center,Dorms,Math_Building,Student_Center,Dorms"
U0020_8,"Gym,Cafeteria,Math_Building"
U0020_9,"Dorms,Cafeteria,Library,Student_Center,Dorms,Cafeteria,Library"
U0021_1,"Dorms,Cafeteria,Math_Building,Cafeteria,Math_Building,Cafeteria,CS_Building"
U0021_10,"Dorms,Cafeteria,Library,Dorms,Cafeteria"
U0021_11,"Library,Student_Center,Gym"
U0021_12,"Dorms,CS_Building,Library,Student_Center"
U0021_13,"Student_Center,Library,Gym,Dorms,CS_Building,Library"
U0021_14,"Cafeteria,Math_Building,Cafeteria,CS_Building,Dorms,Cafeteria,Math_Building"
U0021_15,"Dorms,CS_Building,Student_Center,Dorms,Cafeteria,Math_Building,Student_Center,Dorms"
U0021_2,"Dorms,CS_Building,Student_Center,Dorms,Math_Building,Cafeteria"
U0021_3,"Math_Building,Library,Gym,Dorms"
U0021_4,"Dorms,Math_Building,Dorms,CS_Building,Library,Dorms,CS_Building,Cafeteria"
U0021_5,"Dorms,Cafeteria,Library,Gym"
U0021_6,"Dorms,Cafeteria,Math_Building,Library,Cafeteria"
U0021_7,"Dorms,Cafeteria,Library,Gym,Cafeteria,Student_Center,Dorms,Cafeteria,Dorms,Cafeteria,CS_Building,Library,Gym,Dorms,Cafeteria,Math_Building"
U0021_8,"Dorms,Cafeteria,Library,Dorms,Math_Building,Library,Gym,Dorms"
U0021_9,"Dorms,CS_Building,Cafeteria,Math_Building,Student_Center,Gym"
U0022_1,"Dorms,Cafeteria,Library,Cafeteria,Math_Building,Student_Center,Gym,Dorms"
U0022_10,"CS_Building,Library,Dorms"
U0022_11,"Dorms,Cafeteria,Library,Cafeteria,Math_Building,Library,Cafeteria"
U0022_12,"Dorms,Math_Building,Student_Center,Gym,Dorms,Math_Building,Dorms,CS_Building,Student_Center,Gym"
U0022_2,"Dorms,Math_Building,Dorms,Cafeteria,Math_Building,Dorms,Library,Gym"
U0022_3,"Dorms,Cafeteria,Math_Building,Cafeteria"
U0022_4,"Dorms,Cafeteria,Library,Dorms"
U0022_5,"Dorms,Cafeteria,CS_Building,Student_Center,Library,Cafeteria,CS_Building,Student_Center,Dorms,Cafeteria,Math_Building"
U0022_6,"Student_Center,Dorms,Cafeteria,CS_Building,Library,Student_Center"
U0022_7,"Dorms,Cafeteria,Library,Cafeteria,Math_Building,Student_Center"
U0022_8,"Dorms,Library,Gym,Dorms,Math_Building,Library,Dorms,Cafeteria,CS_Building,Student_Center,Library"
U0022_9,"Dorms,CS_Building,Student_Center,Dorms,Cafeteria,Math_Building,Student_Center,Gym"
U0023_1,"Dorms,Cafeteria,CS_Building,Cafeteria,Math_Building,Cafeteria,Dorms,Cafeteria,Student_Center"
U0023_2,"Dorms,Math_Building,Cafeteria,Math_Building,Dorms,Cafeteria,CS_Building,Library"
U0023_3,"Dorms,Cafeteria,CS_Building,Cafeteria,Student_Center,Dorms,Cafeteria,Student_Center"
U0023_4,"Math_Building,Library,Cafeteria,Math_Building,Library,Student_Center,Library,Dorms,Dorms,Cafeteria,Math_Building,Cafeteria,Library,Dorms"
U0023_5,"Dorms,Math_Building,Cafeteria,CS_Building"
U0023_6,"Dorms,Cafeteria,Math_Building,Student_Center,Library,Gym"
U0023_7,"Dorms,Library,Dorms,CS_Building,Library,Cafeteria,CS_Building,Dorms,Cafeteria,CS_Building,Student_Center,Library"
U0023_8,"Dorms,Library,Cafeteria,CS_Building,Student_Center,Gym,Dorms"
U0023_9,"Dorms,CS_Building,Library,Cafeteria"
U0024_1,"Gym,Dorms,Library,Gym,Cafeteria"
U0024_10,"Dorms,Cafeteria,CS_Building,Student_Center,Library,Dorms,Cafeteria,CS_Building"
U0024_11,"Dorms,Cafeteria,Library"
U0024_12,"Dorms,Cafeteria,CS_Building,Cafeteria,Math_Building,Library"
U0024_13,"Dorms,Math_Building,Dorms,Cafeteria,Library,Student_Center,Gym"
U0024_14,"Dorms,CS_Building,Student_Center,Gym,Dorms"
U0024_15,"Dorms,Cafeteria,Library,Gym,Dorms,Math_Building,Student_Center,Gym"
U0024_2,"Dorms,Library,Dorms,Cafeteria,CS_Building"
U0024_3,"Dorms,CS_Building,Student_Center,Dorms,CS_Building,Library"
U0024_4,"Math_Building,Student_Center,Gym,Cafeteria,Math_Building,Student_Center"
U0024_5,"Dorms,Math_Building,Student_Center,Dorms"
U0024_6,"Dorms,Cafeteria,Math_Building,Gym,Dorms,Cafeteria,Library"
U0024_7,"Dorms,Cafeteria,Math_Building,Student_Center,Gym,Cafeteria,Math_Building"
U0024_8,"Dorms,Cafeteria,Math_Building"
U0024_9,"Dorms,Math_Building,Dorms,CS_Building,Library"
U0025_1,"Dorms,Cafeteria,Student_Center"
U0025_10,"Dorms,Cafeteria,CS_Building,Library,Dorms"
U0025_11,"CS_Building,Library,Dorms,Cafeteria,Library,Dorms,Cafeteria,Math_Building"
U0025_12,"Dorms,Library,Dorms,Cafeteria,Library,Cafeteria,Dorms,Cafeteria,Math_Building,Library,Dorms,Math_Building,Dorms,Cafeteria,Dorms,Math_Building,Dorms,Cafeteria,Math_Building,Student_Center"
U0025_2,"Dorms,Math_Building,Student_Center,Library,Dorms,CS_Building,Library,Cafeteria"
U0025_3,"Dorms,Cafeteria,Student_Center,Gym"
U0025_4,"Dorms,Math_Building,Student_Center,Library"
U0025_5,"Gym,Cafeteria,Math_Building,Dorms,Cafeteria,Student_Center,Dorms,CS_Building,Student_Center,Library,Cafeteria"
U0025_6,"Math_Building,Library,Dorms,Cafeteria"
